target_id,method,k,effective_k,f1,mcc
7PD3|1|B,ens,1,1,0.3,0.3438209242426076
7PD3|1|B,ens,50,50,0.33333333333333337,0.36975649771607005
7PD3|1|B,ens,100,100,0.33333333333333337,0.36975649771607005
7PD3|1|B,ens,200,200,0.33333333333333337,0.36975649771607005
7PD3|1|B,ens,500,500,0.47619047619047616,0.557486010064114
7PKT|1|0,ens,1,1,0.68,0.6821515219458767
7PKT|1|0,ens,50,50,0.9333333333333332,0.9330228307857206
7PKT|1|0,ens,100,100,0.9333333333333332,0.9330228307857206
7PKT|1|0,ens,200,200,0.9333333333333332,0.9330228307857206
7PKT|1|0,ens,500,500,0.9333333333333332,0.9330228307857206
7D7W|1|A,ens,1,1,0.7878787878787877,0.7884715175568436
7D7W|1|A,ens,50,50,0.9411764705882353,0.9420598884708518
7D7W|1|A,ens,100,100,0.9411764705882353,0.9420598884708518
7D7W|1|A,ens,200,200,0.9411764705882353,0.9420598884708518
7D7W|1|A,ens,500,500,0.9411764705882353,0.9420598884708518
7LYF|1|A,ens,1,1,0.6478873239436619,0.6713299387065389
7LYF|1|A,ens,50,50,0.6666666666666665,0.6868556318368014
7LYF|1|A,ens,100,100,0.7042253521126761,0.7300177284289874
7LYF|1|A,ens,200,200,0.7042253521126761,0.7300177284289874
7LYF|1|A,ens,500,500,0.7164179104477613,0.7342372847592106
7MKY|1|A,ens,1,1,0.888888888888889,0.8933410616484527
7MKY|1|A,ens,50,50,0.888888888888889,0.8933410616484527
7MKY|1|A,ens,100,100,0.9130434782608696,0.9156244535144992
7MKY|1|A,ens,200,200,0.9130434782608696,0.9156244535144992
7MKY|1|A,ens,500,500,0.9130434782608696,0.9156244535144992
6V5B|1|D,ens,1,1,0.9056603773584906,0.904984747937309
6V5B|1|D,ens,50,50,0.9411764705882353,0.9423341943892221
6V5B|1|D,ens,100,100,0.9433962264150944,0.9430633411565291
6V5B|1|D,ens,200,200,0.9454545454545454,0.945109726491364
6V5B|1|D,ens,500,500,0.9454545454545454,0.945109726491364
6LXD|1|D,ens,1,1,0.75,0.7480283911671924
6LXD|1|D,ens,50,50,0.8205128205128205,0.8194074457066501
6LXD|1|D,ens,100,100,0.8205128205128205,0.8194074457066501
6LXD|1|D,ens,200,200,0.8205128205128205,0.8194074457066501
6LXD|1|D,ens,500,500,0.8571428571428572,0.8569504269668311
6VMY|1|A,ens,1,1,0.6842105263157895,0.6833274110292855
6VMY|1|A,ens,50,50,0.736842105263158,0.7361643269565183
6VMY|1|A,ens,100,100,0.736842105263158,0.7361643269565183
6VMY|1|A,ens,200,200,0.7560975609756098,0.756071332112969
6VMY|1|A,ens,500,500,0.7560975609756098,0.756071332112969
6W6V|1|A,ens,1,1,0.31952662721893493,0.32024416910803144
6W6V|1|A,ens,50,50,0.48148148148148145,0.4818385879800339
6W6V|1|A,ens,100,100,0.5454545454545454,0.5468625387827251
6W6V|1|A,ens,200,200,0.5977011494252874,0.6026859947424192
6W6V|1|A,ens,500,500,0.6206896551724138,0.6259433277402646
6MWN|1|B,ens,1,1,0.7586206896551724,0.7573580058284094
6MWN|1|B,ens,50,50,0.8275862068965518,0.8268567404808987
6MWN|1|B,ens,100,100,0.8571428571428571,0.8561593312023604
6MWN|1|B,ens,200,200,0.9655172413793104,0.9658542097858773
6MWN|1|B,ens,500,500,0.9655172413793104,0.9658542097858773
6N2V|1|A,ens,1,1,0.9508196721311475,0.9516693130345849
6N2V|1|A,ens,50,50,0.9666666666666666,0.9669993873511643
6N2V|1|A,ens,100,100,0.9666666666666666,0.9669993873511643
6N2V|1|A,ens,200,200,0.9666666666666666,0.9669993873511643
6N2V|1|A,ens,500,500,0.9666666666666666,0.9669993873511643
6WOO|1|3,ens,1,1,1.0,1.0
6WOO|1|3,ens,50,50,1.0,1.0
6WOO|1|3,ens,100,100,1.0,1.0
6WOO|1|3,ens,200,200,1.0,1.0
6WOO|1|3,ens,500,500,1.0,1.0
7QH7|1|B,ens,1,1,0.21052631578947364,0.23506394411959594
7QH7|1|B,ens,50,50,0.47058823529411764,0.5142074242412468
7QH7|1|B,ens,100,100,0.5000000000000001,0.5373365603182716
7QH7|1|B,ens,200,200,0.6,0.5986970684039088
7QH7|1|B,ens,500,500,0.625,0.6728809178760339
7QI4|1|Ay,ens,1,1,0.7200000000000001,0.7325171783231921
7QI4|1|Ay,ens,50,50,0.7826086956521738,0.7875846025375705
7QI4|1|Ay,ens,100,100,0.8,0.8149440094888873
7QI4|1|Ay,ens,200,200,0.8,0.8149440094888873
7QI4|1|Ay,ens,500,500,0.8000000000000002,0.7984802431610942
6XA1|1|Bv,ens,1,1,0.4375,0.4486853502262209
6XA1|1|Bv,ens,50,50,0.6666666666666665,0.6691527533093656
6XA1|1|Bv,ens,100,100,0.6666666666666665,0.6691527533093656
6XA1|1|Bv,ens,200,200,0.7333333333333334,0.7471276738120342
6XA1|1|Bv,ens,500,500,0.7586206896551724,0.7689622713053732
6XJQ|1|A,ens,1,1,0.7272727272727272,0.7248651374394955
6XJQ|1|A,ens,50,50,0.9411764705882353,0.94056522364447
6XJQ|1|A,ens,100,100,0.9411764705882353,0.94056522364447
6XJQ|1|A,ens,200,200,0.9411764705882353,0.94056522364447
6XJQ|1|A,ens,500,500,0.9714285714285714,0.9715282577795777
7R6K|1|1,ens,1,1,0.0625,0.0633229878970043
7R6K|1|1,ens,50,50,0.07272727272727272,0.07205173802792514
7R6K|1|1,ens,100,100,0.13559322033898308,0.1380687565096519
7R6K|1|1,ens,200,200,0.3809523809523809,0.3980319188401783
7R6K|1|1,ens,500,500,0.3870967741935483,0.4030237837653262
7R81|1|u1,ens,1,1,0.7441860465116279,0.7424464724268243
7R81|1|u1,ens,50,50,0.8095238095238095,0.8081098823410594
7R81|1|u1,ens,100,100,0.975609756097561,0.9757276372067598
7R81|1|u1,ens,200,200,0.975609756097561,0.9757276372067598
7R81|1|u1,ens,500,500,0.975609756097561,0.9757276372067598
9H6Y|1|1,ens,1,1,0.6,0.604018123549983
9H6Y|1|1,ens,50,50,0.9189189189189189,0.9214390514213904
9H6Y|1|1,ens,100,100,0.9444444444444444,0.945552813515413
9H6Y|1|1,ens,200,200,0.9444444444444444,0.945552813515413
9H6Y|1|1,ens,500,500,0.9714285714285714,0.971644258457901
7M5O|1|B,ens,1,1,0.0,-0.01073822136935112
7M5O|1|B,ens,50,50,1.0,1.0
7M5O|1|B,ens,100,100,1.0,1.0
7M5O|1|B,ens,200,200,1.0,1.0
7M5O|1|B,ens,500,500,1.0,1.0
7MLW|1|F,ens,1,1,0.588235294117647,0.5994500699389503
7MLW|1|F,ens,50,50,0.6567164179104479,0.6680863417796685
7MLW|1|F,ens,100,100,0.6567164179104479,0.6680863417796685
7MLW|1|F,ens,200,200,0.6567164179104479,0.6680863417796685
7MLW|1|F,ens,500,500,0.7272727272727274,0.7385582206658243
6OL3|1|C,ens,1,1,0.9176470588235294,0.9171125829195059
6OL3|1|C,ens,50,50,0.9302325581395349,0.9297191232601921
6OL3|1|C,ens,100,100,0.9411764705882352,0.9408147654329164
6OL3|1|C,ens,200,200,0.9411764705882352,0.9408147654329164
6OL3|1|C,ens,500,500,0.9411764705882352,0.9408147654329164
6P2H|1|A,ens,1,1,0.6285714285714286,0.6280644024028005
6P2H|1|A,ens,50,50,0.8823529411764706,0.8877377078938383
6P2H|1|A,ens,100,100,0.8823529411764706,0.8877377078938383
6P2H|1|A,ens,200,200,0.8888888888888888,0.8894021971195162
6P2H|1|A,ens,500,500,0.8888888888888888,0.8894021971195162
6P5N|1|1,ens,1,1,0.4742268041237113,0.5170274859004453
6P5N|1|1,ens,50,50,0.4742268041237113,0.5170274859004453
6P5N|1|1,ens,100,100,0.4742268041237113,0.5170274859004453
6P5N|1|1,ens,200,200,0.4742268041237113,0.5170274859004453
6P5N|1|1,ens,500,500,0.5432098765432098,0.565782280263873
7SLQ|1|R,ens,1,1,0.8148148148148148,0.8179542315988362
7SLQ|1|R,ens,50,50,0.8799999999999999,0.8794833244811263
7SLQ|1|R,ens,100,100,0.8799999999999999,0.8794833244811263
7SLQ|1|R,ens,200,200,0.8799999999999999,0.8794833244811263
7SLQ|1|R,ens,500,500,0.8799999999999999,0.8794833244811263
6PMO|1|A,ens,1,1,0.27027027027027023,0.2623977528085286
6PMO|1|A,ens,50,50,0.8,0.7986631972909414
6PMO|1|A,ens,100,100,0.9230769230769231,0.9225010605132318
6PMO|1|A,ens,200,200,0.9473684210526315,0.9467774045041683
6PMO|1|A,ens,500,500,0.972972972972973,0.9730410275826795
9KN5|1|zz,ens,1,1,0.40935672514619886,0.41347722854910124
9KN5|1|zz,ens,50,50,0.40935672514619886,0.41347722854910124
9KN5|1|zz,ens,100,100,0.5813953488372093,0.5885023046547907
9KN5|1|zz,ens,200,200,0.6272189349112427,0.6335355412213525
9KN5|1|zz,ens,500,500,0.6272189349112427,0.6335355412213525
6Q97|1|4,ens,1,1,0.28318584070796454,0.3865699125731393
6Q97|1|4,ens,50,50,0.3720930232558139,0.4570538986696835
6Q97|1|4,ens,100,100,0.3720930232558139,0.4570538986696835
6Q97|1|4,ens,200,200,0.3720930232558139,0.4570538986696835
6Q97|1|4,ens,500,500,0.3720930232558139,0.4570538986696835
6Q97|1|7,ens,1,1,0.923076923076923,0.9253424214710277
6Q97|1|7,ens,50,50,0.923076923076923,0.9253424214710277
6Q97|1|7,ens,100,100,0.9473684210526316,0.9483570097182313
6Q97|1|7,ens,200,200,0.9473684210526316,0.9483570097182313
6Q97|1|7,ens,500,500,0.9473684210526316,0.9483570097182313
6Q9A|1|7,ens,1,1,0.2941176470588235,0.29859772877171714
6Q9A|1|7,ens,50,50,0.6060606060606061,0.6180948609483657
6Q9A|1|7,ens,100,100,0.625,0.6343318094802116
6Q9A|1|7,ens,200,200,0.6451612903225806,0.6518987278116494
6Q9A|1|7,ens,500,500,0.7407407407407408,0.7400210990771896
7N2V|1|Pt,ens,1,1,0.5238095238095238,0.5224215693789677
7N2V|1|Pt,ens,50,50,0.6285714285714286,0.6284436635653767
7N2V|1|Pt,ens,100,100,0.8717948717948718,0.871127811363953
7N2V|1|Pt,ens,200,200,0.8717948717948718,0.871127811363953
7N2V|1|Pt,ens,500,500,0.8947368421052632,0.893970264872607
7R6Q|1|6,ens,1,1,0.7567567567567568,0.769625030477585
7R6Q|1|6,ens,50,50,0.8235294117647058,0.8285409544395886
7R6Q|1|6,ens,100,100,0.8235294117647058,0.8285409544395886
7R6Q|1|6,ens,200,200,0.8235294117647058,0.8285409544395886
7R6Q|1|6,ens,500,500,0.896551724137931,0.8966871026651123
7NHL|1|D,ens,1,1,0.975609756097561,0.9757129576035196
7NHL|1|D,ens,50,50,0.975609756097561,0.9757129576035196
7NHL|1|D,ens,100,100,0.975609756097561,0.9757129576035196
7NHL|1|D,ens,200,200,0.975609756097561,0.9757129576035196
7NHL|1|D,ens,500,500,0.975609756097561,0.9757129576035196
7NHN|1|D,ens,1,1,0.975609756097561,0.9757180529762425
7NHN|1|D,ens,50,50,0.975609756097561,0.9757180529762425
7NHN|1|D,ens,100,100,0.975609756097561,0.9757180529762425
7NHN|1|D,ens,200,200,0.975609756097561,0.9757180529762425
7NHN|1|D,ens,500,500,0.975609756097561,0.9757180529762425
7NWG|1|33,ens,1,1,0.06896551724137931,0.08131766394452807
7NWG|1|33,ens,50,50,0.08695652173913045,0.09577237648381863
7NWG|1|33,ens,100,100,0.09090909090909091,0.09892356726250763
7NWG|1|33,ens,200,200,0.09090909090909091,0.09892356726250763
7NWG|1|33,ens,500,500,0.1739130434782609,0.1951993666606225
6RFL|1|U,ens,1,1,0.8484848484848485,0.8507874759805563
6RFL|1|U,ens,50,50,0.8888888888888888,0.8878552971576228
6RFL|1|U,ens,100,100,0.9444444444444444,0.9439276485788114
6RFL|1|U,ens,200,200,0.9444444444444444,0.9439276485788114
6RFL|1|U,ens,500,500,0.9714285714285714,0.9715742954454116
6YWE|1|bb,ens,1,1,0.6857142857142856,0.7208362028069789
6YWE|1|bb,ens,50,50,0.7272727272727273,0.7546628503099885
6YWE|1|bb,ens,100,100,0.7499999999999999,0.7734435660056026
6YWE|1|bb,ens,200,200,0.7499999999999999,0.7734435660056026
6YWE|1|bb,ens,500,500,0.7741935483870968,0.7936843340900913
7OIF|1|z,ens,1,1,0.6666666666666666,0.6645636172450052
7OIF|1|z,ens,50,50,0.8444444444444444,0.8454318959591041
7OIF|1|z,ens,100,100,0.8444444444444444,0.8454318959591041
7OIF|1|z,ens,200,200,0.9199999999999999,0.9202211207984202
7OIF|1|z,ens,500,500,0.9583333333333334,0.9580704521556257
6YWY|1|bb,ens,1,1,0.6857142857142856,0.7078544274771023
6YWY|1|bb,ens,50,50,0.7272727272727274,0.7427367112839615
6YWY|1|bb,ens,100,100,0.7333333333333334,0.7384986641358406
6YWY|1|bb,ens,200,200,0.7333333333333334,0.7384986641358406
6YWY|1|bb,ens,500,500,0.7741935483870968,0.783263805148499
7D81|1|A,ens,1,1,0.7741935483870968,0.7750582438291175
7D81|1|A,ens,50,50,0.9032258064516129,0.906360463258058
7D81|1|A,ens,100,100,0.9333333333333333,0.9346415961719217
7D81|1|A,ens,200,200,0.9333333333333333,0.9346415961719217
7D81|1|A,ens,500,500,0.9333333333333333,0.9346415961719217
7O80|1|AT,ens,1,1,0.3636363636363636,0.36328906329311084
7O80|1|AT,ens,50,50,0.5581395348837209,0.5593997548940939
7O80|1|AT,ens,100,100,0.8372093023255814,0.8420381436330922
7O80|1|AT,ens,200,200,0.8372093023255814,0.8420381436330922
7O80|1|AT,ens,500,500,0.8571428571428571,0.8602802502790937
9RPV|1|E5,ens,1,1,0.6666666666666667,0.6651405170738877
9RPV|1|E5,ens,50,50,0.6857142857142857,0.6859320036979087
9RPV|1|E5,ens,100,100,0.8205128205128205,0.8192833124964067
9RPV|1|E5,ens,200,200,0.8333333333333333,0.8333556508970945
9RPV|1|E5,ens,500,500,0.8333333333333333,0.8333556508970945
7D8C|1|B,ens,1,1,0.35294117647058826,0.38089002411601697
7D8C|1|B,ens,50,50,0.888888888888889,0.8937871714610718
7D8C|1|B,ens,100,100,0.888888888888889,0.8937871714610718
7D8C|1|B,ens,200,200,0.9090909090909091,0.9122167757919684
7D8C|1|B,ens,500,500,0.9090909090909091,0.9122167757919684
7O81|1|AT,ens,1,1,0.6842105263157895,0.6859207262546563
7O81|1|AT,ens,50,50,0.8421052631578947,0.8457922209091725
7O81|1|AT,ens,100,100,0.8421052631578947,0.8457922209091725
7O81|1|AT,ens,200,200,0.8421052631578947,0.8457922209091725
7O81|1|AT,ens,500,500,0.8421052631578947,0.8457922209091725
7D8O|1|B,ens,1,1,0.7272727272727273,0.7541154393371384
7D8O|1|B,ens,50,50,0.7272727272727273,0.7541154393371384
7D8O|1|B,ens,100,100,0.7272727272727273,0.7541154393371384
7D8O|1|B,ens,200,200,0.7272727272727273,0.7541154393371384
7D8O|1|B,ens,500,500,0.7272727272727273,0.7541154393371384
6Z6M|1|CC,ens,1,1,0.8979591836734694,0.8974438605318267
6Z6M|1|CC,ens,50,50,0.9166666666666666,0.9161026508742245
6Z6M|1|CC,ens,100,100,0.9361702127659574,0.935962145503906
6Z6M|1|CC,ens,200,200,0.9361702127659574,0.935962145503906
6Z6M|1|CC,ens,500,500,0.9583333333333334,0.9580513254371122
6ZDQ|1|C,ens,1,1,0.56,0.6219528279983395
6ZDQ|1|C,ens,50,50,0.6666666666666666,0.7059119106965754
6ZDQ|1|C,ens,100,100,0.6666666666666666,0.7059119106965754
6ZDQ|1|C,ens,200,200,0.6666666666666666,0.7059119106965754
6ZDQ|1|C,ens,500,500,0.7000000000000001,0.73273667785488
6ZJ3|1|LL,ens,1,1,0.0,-0.006137590355675021
6ZJ3|1|LL,ens,50,50,0.0,-0.006137590355675021
6ZJ3|1|LL,ens,100,100,0.0,-0.006137590355675021
6ZJ3|1|LL,ens,200,200,0.5882352941176471,0.5866927654172955
6ZJ3|1|LL,ens,500,500,0.6,0.5980314602810849
7OGM|1|P,ens,1,1,0.0,-0.009954325260596168
7OGM|1|P,ens,50,50,0.0,-0.009954325260596168
7OGM|1|P,ens,100,100,0.0,-0.009954325260596168
7OGM|1|P,ens,200,200,0.5,0.49569583931133426
7OGM|1|P,ens,500,500,0.5,0.49569583931133426
9J4N|1|A,ens,1,1,0.7555555555555555,0.7540358209606344
9J4N|1|A,ens,50,50,0.9787234042553191,0.9787928466955133
9J4N|1|A,ens,100,100,1.0,1.0
9J4N|1|A,ens,200,200,1.0,1.0
9J4N|1|A,ens,500,500,1.0,1.0
7E8O|1|X,ens,1,1,0.8421052631578947,0.8455684045332064
7E8O|1|X,ens,50,50,0.8421052631578947,0.8455684045332064
7E8O|1|X,ens,100,100,0.8421052631578947,0.8455684045332064
7E8O|1|X,ens,200,200,0.8421052631578947,0.8455684045332064
7E8O|1|X,ens,500,500,0.8648648648648648,0.8666659323921608
8RRI|1|Ax,ens,1,1,0.8333333333333333,0.833392111241343
8RRI|1|Ax,ens,50,50,0.9500000000000001,0.9507926576264286
8RRI|1|Ax,ens,100,100,0.9500000000000001,0.9507926576264286
8RRI|1|Ax,ens,200,200,0.9500000000000001,0.9507926576264286
8RRI|1|Ax,ens,500,500,0.9500000000000001,0.9507926576264286
6ZMO|1|CB,ens,1,1,0.9795918367346939,0.9796640889607796
6ZMO|1|CB,ens,50,50,1.0,1.0
6ZMO|1|CB,ens,100,100,1.0,1.0
6ZMO|1|CB,ens,200,200,1.0,1.0
6ZMO|1|CB,ens,500,500,1.0,1.0
6ZVK|1|E1,ens,1,1,0.0,-0.002284175477754211
6ZVK|1|E1,ens,50,50,0.3902439024390244,0.3921200337772307
6ZVK|1|E1,ens,100,100,0.3902439024390244,0.3921200337772307
6ZVK|1|E1,ens,200,200,0.3902439024390244,0.3921200337772307
6ZVK|1|E1,ens,500,500,0.45714285714285713,0.4565122326626107
7MDZ|1|2,ens,1,1,0.878048780487805,0.8838704493646864
7MDZ|1|2,ens,50,50,0.923076923076923,0.9253295990230115
7MDZ|1|2,ens,100,100,0.9473684210526316,0.9483482518461565
7MDZ|1|2,ens,200,200,0.9473684210526316,0.9483482518461565
7MDZ|1|2,ens,500,500,0.9473684210526316,0.9483482518461565
7A5I|1|94,ens,1,1,0.4444444444444445,0.5329913363545075
7A5I|1|94,ens,50,50,0.6,0.6536541988721338
7A5I|1|94,ens,100,100,0.6,0.6536541988721338
7A5I|1|94,ens,200,200,0.6,0.6536541988721338
7A5I|1|94,ens,500,500,0.6666666666666666,0.7062972711544868
6Y2L|1|B4,ens,1,1,0.85,0.8588160648395065
6Y2L|1|B4,ens,50,50,0.8947368421052632,0.8991000043995946
6Y2L|1|B4,ens,100,100,0.8947368421052632,0.8991000043995946
6Y2L|1|B4,ens,200,200,0.8947368421052632,0.8991000043995946
6Y2L|1|B4,ens,500,500,0.9142857142857143,0.9141343967600786
8F4O|1|B,ens,1,1,0.1875,0.1812015503875969
8F4O|1|B,ens,50,50,0.5161290322580646,0.5127708786680929
8F4O|1|B,ens,100,100,0.5161290322580646,0.5127708786680929
8F4O|1|B,ens,200,200,0.7647058823529411,0.7641187119346703
8F4O|1|B,ens,500,500,0.8387096774193549,0.8379426553844446
5IMQ|1|5,ens,1,1,0.6470588235294118,0.6901009615863556
5IMQ|1|5,ens,50,50,0.6875000000000001,0.7224710889803961
5IMQ|1|5,ens,100,100,0.7096774193548387,0.740443399808406
5IMQ|1|5,ens,200,200,0.7096774193548387,0.740443399808406
5IMQ|1|5,ens,500,500,0.7586206896551725,0.7807716188298753
3J7R|1|S5,ens,1,1,0.5161290322580644,0.5665786269295676
3J7R|1|S5,ens,50,50,0.5517241379310346,0.5945103918953917
3J7R|1|S5,ens,100,100,0.5517241379310346,0.5945103918953917
3J7R|1|S5,ens,200,200,0.5517241379310346,0.5945103918953917
3J7R|1|S5,ens,500,500,0.5714285714285714,0.6100972089764323
6ZJ3|1|S3,ens,1,1,0.7692307692307693,0.780539185010943
6ZJ3|1|S3,ens,50,50,0.8108108108108109,0.8171902881913893
6ZJ3|1|S3,ens,100,100,0.8823529411764706,0.8831971412302367
6ZJ3|1|S3,ens,200,200,0.8823529411764706,0.8831971412302367
6ZJ3|1|S3,ens,500,500,0.9142857142857143,0.9171770996048256
8FKW|1|L2,ens,1,1,0.0,-0.008165019338203695
8FKW|1|L2,ens,50,50,0.0,-0.008165019338203695
8FKW|1|L2,ens,100,100,0.0,-0.008165019338203695
8FKW|1|L2,ens,200,200,0.5714285714285714,0.5703620180130987
8FKW|1|L2,ens,500,500,0.5714285714285714,0.5703620180130987
8G4S|1|i,ens,1,1,0.5625,0.6239581526751048
8G4S|1|i,ens,50,50,0.6206896551724138,0.6694851844122508
8G4S|1|i,ens,100,100,0.6206896551724138,0.6694851844122508
8G4S|1|i,ens,200,200,0.6206896551724138,0.6694851844122508
8G4S|1|i,ens,500,500,0.6923076923076924,0.7265538978928681
2IL9|1|A,ens,1,1,0.19047619047619044,0.2544110925548946
2IL9|1|A,ens,50,50,0.24390243902439024,0.3231289660307679
2IL9|1|A,ens,100,100,0.24390243902439024,0.3231289660307679
2IL9|1|A,ens,200,200,0.24390243902439024,0.3231289660307679
2IL9|1|A,ens,500,500,0.33333333333333326,0.3412511457919817
6O8W|1|u,ens,1,1,0.9047619047619047,0.9082509316745329
6O8W|1|u,ens,50,50,0.9500000000000001,0.9508536811280005
6O8W|1|u,ens,100,100,0.9743589743589743,0.9745072752577074
6O8W|1|u,ens,200,200,0.9743589743589743,0.9745072752577074
6O8W|1|u,ens,500,500,0.9743589743589743,0.9745072752577074
7XK0|1|B,ens,1,1,0.823529411764706,0.8237293432018498
7XK0|1|B,ens,50,50,0.888888888888889,0.8936812132296019
7XK0|1|B,ens,100,100,0.888888888888889,0.8936812132296019
7XK0|1|B,ens,200,200,0.888888888888889,0.8936812132296019
7XK0|1|B,ens,500,500,0.9696969696969697,0.9699402818002179
8FMW|1|X,ens,1,1,0.8571428571428571,0.8652613759305616
8FMW|1|X,ens,50,50,0.8571428571428571,0.8652613759305616
8FMW|1|X,ens,100,100,0.8571428571428571,0.8652613759305616
8FMW|1|X,ens,200,200,0.8571428571428571,0.8652613759305616
8FMW|1|X,ens,500,500,0.8823529411764706,0.8878962711712379
8FR8|1|E,ens,1,1,0.41379310344827586,0.4448335508992569
8FR8|1|E,ens,50,50,0.5714285714285714,0.6102267933038515
8FR8|1|E,ens,100,100,0.5714285714285714,0.6102267933038515
8FR8|1|E,ens,200,200,0.5714285714285714,0.6102267933038515
8FR8|1|E,ens,500,500,0.5714285714285714,0.6102267933038515
8FTI|1|B,ens,1,1,0.8450704225352113,0.8460187540159174
8FTI|1|B,ens,50,50,0.8571428571428571,0.8574867753774624
8FTI|1|B,ens,100,100,0.8732394366197183,0.8744748483818466
8FTI|1|B,ens,200,200,0.8732394366197183,0.8744748483818466
8FTI|1|B,ens,500,500,0.8985507246376813,0.8986573481659459
1WZ2|1|D,ens,1,1,0.4897959183673469,0.48661350483482657
1WZ2|1|D,ens,50,50,0.7499999999999999,0.7490842213673095
1WZ2|1|D,ens,100,100,0.7659574468085107,0.7660992455491438
1WZ2|1|D,ens,200,200,0.8399999999999999,0.8389481987904286
1WZ2|1|D,ens,500,500,0.9387755102040817,0.9385793037933777
1X8W|1|C,ens,1,1,0.5899280575539567,0.5915209184296253
1X8W|1|C,ens,50,50,0.5899280575539567,0.5915209184296253
1X8W|1|C,ens,100,100,0.5899280575539567,0.5915209184296253
1X8W|1|C,ens,200,200,0.7338129496402879,0.7363992966370357
1X8W|1|C,ens,500,500,0.7559055118110236,0.7553735642422913
